Single Year of Age,Both sexes,Female,Male
0,3612.25,1761.625,1850.625
1,3526.25,1721.5625,1804.6875
2,3700.625,1810.875,1889.75
3,3780.25,1842.6875,1937.5625
4,3844.0625,1863.6875,1980.375
5,4001.625,1958.875,2042.75
6,4169.625,2038.875,2130.75
7,4312.5625,2098.25,2214.3125
8,4420.8125,2152.3125,2268.5
9,4512.25,2201.6875,2310.5625
10,4631.3125,2254.125,2377.1875
11,4697.4375,2303.9375,2393.5
12,4765.875,2331.0625,2434.8125
13,4703.5,2298.875,2404.625
14,4589.5,2255.0,2334.5
15,4402.5,2155.75,2246.75
16,4238.375,2073.0,2165.375
17,4251.625,2065.3125,2186.3125
18,4172.0,2053.25,2118.75
19,4037.25,1983.0625,2054.1875
20,3984.0,1976.5,2007.5
21,3791.3125,1868.125,1923.1875
22,3888.625,1923.0,1965.625
23,3807.625,1878.1875,1929.4375
24,3724.875,1835.25,1889.625
25,3703.9375,1830.875,1873.0625
26,3640.0,1804.0,1836.0
27,3668.125,1845.5,1822.625
28,3668.125,1861.75,1806.375
29,3807.8125,1933.5,1874.3125
30,3981.1875,2052.5625,1928.625
31,4121.6875,2106.875,2014.8125
32,4174.6875,2148.875,2025.8125
33,4148.5625,2155.5625,1993.0
34,4337.8125,2267.75,2070.0625
35,4539.6875,2371.25,2168.4375
36,4678.625,2439.375,2239.25
37,4726.25,2449.5625,2276.6875
38,4900.9375,2556.375,2344.5625
39,5083.8125,2662.0,2421.8125
40,5215.25,2696.4375,2518.8125
41,5318.5625,2731.0,2587.5625
42,5311.3125,2708.5625,2602.75
43,5042.6875,2588.0,2454.6875
44,4832.4375,2461.1875,2371.25
45,4763.5,2406.625,2356.875
46,4713.5,2382.9375,2330.5625
47,4657.75,2341.9375,2315.8125
48,4601.0625,2321.5625,2279.5
49,4608.1875,2317.5625,2290.625
50,4515.5625,2262.4375,2253.125
51,4371.9375,2189.0625,2182.875
52,4298.125,2150.875,2147.25
53,4050.9375,2012.75,2038.1875
54,4013.625,2010.5,2003.125
55,3932.25,1972.6875,1959.5625
56,3872.6875,1954.9375,1917.75
57,3915.9375,1985.25,1930.6875
58,3777.1875,1916.25,1860.9375
59,3699.75,1875.0,1824.75
60,3594.875,1816.4375,1778.4375
61,3544.0625,1803.5,1740.5625
62,3438.4375,1743.6875,1694.75
63,3262.25,1644.5,1617.75
64,3202.25,1631.8125,1570.4375
65,3130.1875,1573.9375,1556.25
66,3026.3125,1541.375,1484.9375
67,3009.4375,1532.75,1476.6875
68,2845.0,1438.625,1406.375
69,2873.0625,1460.9375,1412.125
70,2696.875,1368.5625,1328.3125
71,2605.3125,1327.25,1278.0625
72,2570.25,1322.4375,1247.8125
73,2453.4375,1258.375,1195.0625
74,2354.375,1198.5625,1155.8125
75,2235.4375,1143.375,1092.0625
76,2109.9375,1104.0625,1005.875
77,1910.75,998.1875,912.5625
78,1753.625,916.625,837.0
79,1631.5,871.125,760.375
80,1427.9375,760.8125,667.125
81,1291.3125,699.4375,591.875
82,1221.125,672.4375,548.6875
83,1117.8125,624.0625,493.75
84,978.4375,555.625,422.8125
85,903.5625,518.9375,384.625
86,804.4375,468.8125,335.625
87,705.0625,422.875,282.1875
88,606.125,370.4375,235.6875
89,499.8125,310.0625,189.75
90,420.5625,267.8125,152.75
91,358.1875,236.3125,121.875
92,256.625,175.5625,81.0625
93,203.5625,145.0,58.5625
94,153.4375,108.5625,44.875
95,114.125,84.0,30.125
96,80.1875,59.75,20.4375
97,59.3125,45.75,13.5625
98,38.875,30.75,8.125
99,27.5625,21.0,6.5625
100,46.125,36.5,9.625
