Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Country,Age_Group
29-392-9296,49,Male,High,Married,High School,High,Huocheng,Food & Beverages,222.22,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,2024-04-16,True,False,Wants-based,Standard,6,CN,46-55
84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,426.22,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,2024-03-15,True,True,Impulsive,No Preference,3,Unknown,18-25
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren,Furniture,486.4,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,2024-03-15,True,False,Need-based,Express,13,Unknown,18-25
37-065-3182,24,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,201.96,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,2024-06-10,False,False,Need-based,Standard,7,Unknown,18-25
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,389.7,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,2024-07-02,True,False,Planned,Express,12,US,26-35
78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Győr,Sports & Outdoors,238.93,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,2024-12-27,True,False,Planned,No Preference,1,HU,36-45
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,61.22,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,2024-08-05,True,True,Need-based,No Preference,5,Unknown,26-35
80-684-5072,32,Male,High,Married,High School,Middle,Rokytne,Animal Feed,79.81,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,2024-07-16,False,True,Wants-based,Standard,14,Unknown,26-35
90-069-8934,40,Male,High,Divorced,Master's,High,Dhankutā,Hotels,109.29,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,2024-08-11,False,True,Wants-based,Express,11,NP,36-45
45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong,Furniture,356.45,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,2024-10-18,False,True,Planned,Standard,8,Unknown,36-45
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,461.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,2024-07-10,False,True,Wants-based,Standard,9,BR,36-45
21-755-8745,37,Male,High,Widowed,High School,High,Montpellier,Packages),136.53,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,2024-05-31,True,True,Planned,Standard,10,FR,36-45
29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,489.05,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,2024-09-04,True,True,Planned,Standard,7,Unknown,26-35
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,135.8,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,2024-11-16,False,True,Planned,No Preference,9,US,46-55
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,382.24,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,2024-07-06,True,True,Planned,Standard,3,Unknown,36-45
55-163-1389,24,Male,High,Divorced,Bachelor's,High,Nasielsk,Mobile Accessories,433.82,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,2024-06-29,False,True,Planned,Express,10,Unknown,18-25
17-198-5155,30,Female,High,Single,Bachelor's,High,Qianjin,Books,52.34,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,2024-05-21,True,True,Planned,Express,13,Unknown,26-35
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,263.15,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,2024-03-04,True,False,Impulsive,Express,10,Unknown,18-25
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,353.4,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,2024-12-06,False,True,Impulsive,No Preference,3,Unknown,26-35
57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,329.41,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,2024-10-21,True,True,Need-based,No Preference,2,Unknown,46-55
07-816-2673,46,Female,Middle,Married,Master's,Middle,Topol’noye,Food & Beverages,54.46,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,2024-11-17,False,False,Impulsive,Standard,1,Unknown,46-55
70-761-3550,43,Male,High,Widowed,Master's,Middle,Kovářov,Books,257.12,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,2024-07-24,True,False,Impulsive,No Preference,11,Unknown,36-45
21-734-0212,24,Female,Middle,Widowed,High School,High,Namur,Beauty & Personal Care,423.92,8,Mixed,3,1,2.0,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,2024-08-24,False,True,Need-based,Standard,8,BE,18-25
76-148-9413,43,Other,High,Widowed,Master's,Middle,Benevides,Arts & Crafts,111.24,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,2024-08-06,True,False,Need-based,No Preference,12,BR,36-45
18-655-3670,29,Male,Middle,Widowed,High School,High,Prostřední Bečva,Office Supplies,449.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,2024-06-12,False,False,Planned,No Preference,14,Unknown,26-35
72-431-5021,35,Female,High,Married,Master's,High,Oeiras,Animal Feed,427.48,6,Online,4,2,0.0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,2024-12-16,True,False,Impulsive,Standard,11,PT,26-35
07-479-3919,27,Female,Middle,Single,High School,High,Kýthnos,Sports & Outdoors,171.61,3,Online,3,1,2.0,Low,Very Sensitive,1,6,High,Desktop,Credit Card,2024-10-31,True,False,Planned,Express,8,Unknown,26-35
17-032-6274,40,Female,High,Married,Bachelor's,High,Rizal,Books,240.28,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,2024-12-07,True,True,Impulsive,Standard,4,PH,36-45
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,166.0,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,2024-06-11,False,False,Impulsive,Express,5,Unknown,18-25
35-192-9050,32,Female,Middle,Married,Bachelor's,High,Hunkuyi,Animal Feed,395.97,9,In-Store,1,4,0.0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,2024-08-18,True,True,Wants-based,Standard,1,Unknown,26-35
84-337-1016,19,Other,High,Widowed,High School,High,Longxing,Health Care,333.32,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,2024-10-05,True,False,Planned,No Preference,3,CN,18-25
75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors,414.83,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,2024-07-16,False,False,Planned,Express,8,Unknown,18-25
29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya,Books,391.38,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,2024-04-02,False,False,Need-based,No Preference,8,Unknown,26-35
12-409-5166,48,Male,Middle,Divorced,Bachelor's,High,Camp Ithier,Furniture,368.4,11,Online,2,5,1.0,High,Not Sensitive,0,3,High,Desktop,Credit Card,2024-06-21,False,False,Need-based,No Preference,13,Unknown,46-55
74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Luxi,Home Appliances,424.39,9,Mixed,3,1,1.0,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,2024-02-26,True,False,Wants-based,No Preference,13,Unknown,36-45
31-395-1286,47,Male,High,Married,High School,High,Ostashkov,Health Supplements,197.12,10,In-Store,4,4,0.0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,2024-06-14,True,True,Wants-based,Standard,10,RU,46-55
60-838-4334,45,Male,High,Single,Bachelor's,High,Hongshanzui,Books,454.57,9,Mixed,2,5,1.0,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,2024-03-24,True,True,Wants-based,Express,1,Unknown,36-45
71-197-8227,37,Male,Middle,Divorced,High School,High,Tocoa,Electronics,298.38,4,Mixed,3,4,2.0,High,Very Sensitive,0,2,Low,Tablet,Cash,2024-04-27,False,True,Need-based,Standard,3,HN,36-45
15-530-3861,36,Male,High,Divorced,High School,High,Bayan Tuohai,Clothing,111.7,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,2024-11-07,False,False,Planned,Standard,7,Unknown,36-45
05-465-8765,27,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,380.99,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,2024-12-09,True,True,Need-based,No Preference,8,Unknown,26-35
81-580-3810,36,Male,Middle,Married,High School,High,Créteil,Food & Beverages,79.0,10,Online,1,2,1.0,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,2024-09-14,False,True,Planned,Standard,7,FR,36-45
74-353-6312,46,Female,Middle,Married,Bachelor's,Middle,Pameungpeuk,Groceries,113.88,2,Online,5,2,2.0,Medium,Not Sensitive,2,4,High,Tablet,PayPal,2024-03-29,False,False,Wants-based,Express,9,ID,46-55
78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,121.57,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,2024-06-06,False,True,Impulsive,No Preference,13,Unknown,26-35
31-218-0024,21,Female,High,Divorced,High School,Middle,Lewotola,Health Supplements,215.54,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,2024-04-08,True,True,Planned,No Preference,10,Unknown,18-25
15-711-4107,43,Male,High,Married,Bachelor's,High,Laocheng,Furniture,87.03,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,2024-08-11,False,True,Need-based,No Preference,7,Unknown,36-45
76-672-1193,19,Male,High,Divorced,High School,High,Guacarí,Travel & Leisure (Flights,111.75,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,2024-10-10,False,True,Impulsive,Standard,8,CO,18-25
46-503-5589,41,Female,High,Widowed,Master's,High,Sancang,Office Supplies,136.2,2,Mixed,3,2,2.0,Low,Not Sensitive,0,1,High,Tablet,PayPal,2024-06-15,True,True,Need-based,Express,9,Unknown,36-45
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,439.31,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,2024-08-11,False,True,Wants-based,No Preference,7,Unknown,46-55
09-216-1957,31,Female,High,Divorced,Master's,Middle,Leśnica,Jewelry & Accessories,178.04,5,In-Store,5,1,2.0,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,2024-07-16,False,False,Need-based,No Preference,12,Unknown,26-35
23-253-2565,23,Female,High,Divorced,High School,High,Hinlayagan Ilaud,Toys & Games,461.09,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,2024-08-03,True,False,Need-based,No Preference,8,Unknown,18-25
90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,Ōkuchi,Health Care,444.87,11,Online,5,4,0.0,Medium,Not Sensitive,1,8,Low,Desktop,Other,2024-11-29,False,False,Wants-based,No Preference,7,Unknown,36-45
38-935-1865,18,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,160.82,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,2024-07-09,True,True,Wants-based,No Preference,3,Unknown,18-25
70-895-5298,28,Female,Middle,Married,Master's,High,Pomar,Food & Beverages,450.66,7,In-Store,2,5,0.0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,2024-06-13,False,True,Need-based,No Preference,9,Unknown,26-35
02-653-5884,42,Female,High,Married,Bachelor's,Middle,Zalţan,Arts & Crafts,164.27,6,Online,5,3,2.0,High,Not Sensitive,2,7,Low,Desktop,PayPal,2024-07-13,True,False,Wants-based,No Preference,14,Unknown,36-45
11-719-8800,37,Female,Middle,Widowed,Master's,High,Trélazé,Food & Beverages,346.36,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,2024-09-04,False,False,Need-based,Standard,14,Unknown,36-45
59-355-5251,33,Female,Middle,Widowed,High School,High,Messina,Animal Feed,377.77,9,Mixed,4,2,1.0,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,2024-08-26,True,True,Impulsive,Standard,3,IT,26-35
82-572-9091,46,Female,Middle,Widowed,High School,Middle,Mrągowo,Travel & Leisure (Flights,163.41,2,In-Store,5,5,2.0,Low,Not Sensitive,1,8,High,Desktop,Other,2024-02-25,True,True,Need-based,Express,4,PL,46-55
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo,Books,247.51,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,2024-07-01,True,False,Impulsive,Standard,2,NO,36-45
46-230-8307,38,Female,High,Single,Master's,Middle,La Roche-sur-Yon,Health Care,485.42,5,Online,1,2,2.0,High,Somewhat Sensitive,1,6,High,Desktop,Other,2024-11-13,True,False,Wants-based,No Preference,4,FR,36-45
13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Tianbao,Gardening & Outdoors,162.31,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,2024-10-05,False,False,Need-based,No Preference,11,Unknown,18-25
